5,4.364466699,1.523796277,0.878899,0.848644,0.870693,0.877121,0.887596,4.59%,0.99%
6,4.630293756,1.632621393,0.884642,0.863261,0.87726,0.873639,0.899618,4.21%,2.55%
7,4.822136956,1.693504424,0.887316,0.870272,0.880713,0.878751,0.903912,3.87%,2.63%
8,4.957142857,1.7117147,0.888423,0.873928,0.882743,0.881095,0.907187,3.81%,2.77%
9,5.053818407,1.719014738,0.88884,0.875574,0.884054,0.881693,0.907777,3.68%,2.68%
10,5.125387792,1.722433382,0.888771,0.876997,0.88334,0.881735,0.908859,3.63%,2.89%
15,5.284531403,1.72951423,0.890104,0.878499,0.88935,0.883149,0.911066,3.71%,2.44%
20,5.32820031,1.731517033,0.890004,0.87923,0.889526,0.882641,0.910523,3.56%,2.36%
25,5.34236589,1.73151457,0.889758,0.879104,0.889283,0.882784,0.910697,3.59%,2.41%
30,5.347871363,1.731454824,0.890806,0.879919,0.889323,0.882877,0.9116,3.60%,2.50%
